City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Iquique,CL,66.24,overcast clouds,-20.2208,-70.1431,Hostal Vivar
1,Jacobina,BR,64.72,overcast clouds,-11.1806,-40.5183,Hotel Jovem Jota
11,Dolores,AR,55.8,light rain,-36.3132,-57.6792,Plaza Hotel
15,Campagna,IT,55.6,few clouds,40.6653,15.1059,Maccarunera
24,Castro,BR,58.39,few clouds,-24.7911,-50.0119,Hotel Central Palace
30,Dakar,SN,67.08,clear sky,14.6937,-17.4441,翁记小吃
33,Atar,MR,68.05,scattered clouds,20.5169,-13.0499,فندق سكليل
35,Victoria,HK,68.25,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
39,Mount Gambier,AU,65.53,clear sky,-37.8333,140.7667,The Old Mount Gambier Gaol
43,Viedma,AR,59.76,clear sky,-40.8135,-62.9967,Níjar
44,Port Lincoln,AU,69.08,clear sky,-34.7333,135.8667,Boston Hotel
46,Nouakchott,MR,62.53,clear sky,18.0858,-15.9785,فندق أدرار
48,Aviles,ES,67.39,clear sky,43.5547,-5.9248,Hotel NH Collection Palacio de Avilés
60,Los Llanos De Aridane,ES,65.95,few clouds,28.6585,-17.9182,Valle Aridane
93,Ibotirama,BR,67.33,broken clouds,-12.1853,-43.2206,Glória Palace Hotel
98,Kainantu,PG,63.54,overcast clouds,-6.2887,145.8655,Kainantu Lodge
100,Chuy,UY,66.24,clear sky,-33.6971,-53.4616,Alerces
104,Andahuaylas,PE,51.03,overcast clouds,-13.6556,-73.3872,Central
112,Mar Del Plata,AR,60.87,broken clouds,-38.0023,-57.5575,Nuevo Ostende
113,Alegrete,BR,69.6,clear sky,-29.7831,-55.7919,Expresso Hotel
121,Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hotel Iberia
133,Half Moon Bay,US,60.91,overcast clouds,37.4636,-122.4286,Half Moon Bay Inn
138,Radford,US,54.9,mist,37.1318,-80.5764,La Quinta Inn by Wyndham Radford
146,Necochea,AR,58.98,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
147,Fortuna,US,55.74,overcast clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
150,Rawson,AR,61.74,clear sky,-43.3002,-65.1023,Hotel Deportivo
168,Barranca,PE,67.53,overcast clouds,-10.75,-77.7667,Emperador
171,Morro Bay,US,59.92,overcast clouds,35.3658,-120.8499,Ascot Suites
179,Ahipara,NZ,64.63,overcast clouds,-35.1667,173.1667,YHA Ahipara
181,Hualmay,PE,67.6,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
184,Todos Santos,MX,62.65,clear sky,23.45,-110.2167,Hotel Casa Tota
190,Mao,ES,61.36,few clouds,39.8885,4.2658,Eurohotel
191,Taltal,CL,63.91,overcast clouds,-25.4,-70.4833,Hostería Taltal
194,Exeter,GB,55.02,light rain,50.7236,-3.5275,Southernhay House
197,Requena,ES,52.52,broken clouds,39.4883,-1.1004,Hotel Avenida
198,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Praia Dourada
203,Denia,ES,63.84,broken clouds,38.8408,0.1057,MR Hotel Costa Blanca
211,Ancud,CL,50.67,clear sky,-41.8697,-73.8203,Cabañas
213,Pisco,PE,68.05,few clouds,-13.7,-76.2167,La Portada
225,Christchurch,NZ,57.94,scattered clouds,-43.5333,172.6333,Ibis Hotel Christchurch
227,Cidreira,BR,67.12,clear sky,-30.1811,-50.2056,Hotel Castelo
229,Laguna,US,60.06,mist,38.421,-121.4238,Holiday Inn Express & Suites
237,Shanghai,CN,50.94,clear sky,31.2222,121.4581,锦江饭店
249,Cabo San Lucas,MX,68.5,clear sky,22.8909,-109.9124,Comfort Rooms
255,Rocha,UY,66.94,clear sky,-34.4833,-54.3333,Hotel Municipal
259,Naivasha,KE,69.1,overcast clouds,-0.7167,36.4359,Supa Lodge
268,Letlhakane,BW,68.97,light rain,-21.4167,25.5833,Boteti Hotel
270,Ishigaki,JP,69.93,broken clouds,24.3448,124.1572,アートホテル石垣島
278,Durusu,TR,53.78,broken clouds,41.3053,28.6767,Channel Karaburun
283,Lima,PE,69.91,scattered clouds,-12.0432,-77.0282,Hotel Peach Garden
288,Forestville,US,54.46,overcast clouds,38.8451,-76.875,Quality Inn
289,Asfi,MA,66.2,broken clouds,32.2994,-9.2372,Golden Tulip Farah Safi
294,General Roca,AR,62.62,clear sky,-39.0333,-67.5833,Hotel Austral
295,Nea Peramos,GR,63.68,few clouds,38.0076,23.423,Ακτή
296,Corinth,GR,58.89,clear sky,37.9407,22.9573,Apollon
300,Sao Felix Do Xingu,BR,69.35,broken clouds,-6.6447,-51.995,Hotel Terraço
301,Ibbenburen,DE,55.65,light intensity drizzle rain,52.2667,7.7333,Brügge
306,Ponta Do Sol,PT,69.01,scattered clouds,32.6667,-17.1,Estalagem Ponta do Sol
307,Te Anau,NZ,56.7,broken clouds,-45.4167,167.7167,Lakeside Motels & Apartments
