City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.81,99,100,1.63,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,77.72,76,39,6.89,scattered clouds
2,Provideniya,RU,64.3833,-173.3,17.71,53,2,35.79,clear sky
3,Carnarvon,AU,-24.8667,113.6333,86.11,49,8,21.54,clear sky
4,Sharjah,AE,25.3573,55.4033,69.78,82,0,5.75,clear sky
5,Vostok,RU,46.4856,135.8833,11.37,89,100,3.44,overcast clouds
6,Sungairaya,ID,0.7,108.9,83.52,73,95,10.92,light rain
7,Hofn,IS,64.2539,-15.2082,28.56,54,100,29.24,overcast clouds
8,Sargatskoye,RU,55.6101,73.4972,10.53,80,11,10.49,few clouds
9,Busselton,AU,-33.65,115.3333,75.92,42,55,16.44,broken clouds
10,Havre-Saint-Pierre,CA,50.2334,-63.5986,24.8,68,75,19.57,light snow
11,Shimoda,JP,34.6667,138.95,52.16,72,89,1.52,overcast clouds
12,Swan River,CA,52.1058,-101.2676,-2.31,78,93,6.91,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,62.19,92,54,3.89,broken clouds
14,Sao Filipe,CV,14.8961,-24.4956,71.64,66,89,12.82,overcast clouds
15,Bambanglipuro,ID,-7.95,110.2833,83.77,71,98,14.16,light rain
16,Khatanga,RU,71.9667,102.5,-37.55,100,80,3.04,broken clouds
17,Myitkyina,MM,25.3833,97.4,74.82,47,9,2.06,clear sky
18,Finschhafen,PG,-6.6024,147.8681,86.94,71,99,14.41,overcast clouds
19,Atherton,GB,53.5237,-2.4935,40.69,81,75,1.99,broken clouds
20,Ushuaia,AR,-54.8,-68.3,53.26,47,0,3.44,clear sky
21,Stepnyak,KZ,52.8339,70.7803,15.51,68,100,8.21,overcast clouds
22,East London,ZA,-33.0153,27.9116,61.74,94,100,0.0,overcast clouds
23,Siverek,TR,37.755,39.3167,41.85,73,91,5.26,light rain
24,Nikolskoye,RU,59.7035,30.7861,24.69,94,75,4.74,broken clouds
25,Morgan City,US,29.6994,-91.2068,30.2,86,0,0.0,clear sky
26,Channel-Port Aux Basques,CA,47.5702,-59.1367,30.85,83,99,24.25,light snow
27,Anadyr,RU,64.75,177.4833,7.3,78,0,13.42,clear sky
28,Maniitsoq,GL,65.4167,-52.9,13.68,51,58,5.79,broken clouds
29,Mataura,NZ,-46.1927,168.8643,69.58,58,99,6.89,overcast clouds
30,Zhongshan,CN,21.3226,110.5829,67.41,60,2,15.68,clear sky
31,Arraial Do Cabo,BR,-22.9661,-42.0278,73.74,89,100,22.26,overcast clouds
32,Mangaldai,IN,26.4333,92.0333,70.45,58,20,9.62,few clouds
33,Kamaishi,JP,39.2667,141.8833,44.85,51,44,9.82,scattered clouds
34,Vaini,TO,-21.2,-175.2,82.56,78,75,10.36,broken clouds
35,Odweyne,SO,9.4092,45.064,68.72,55,19,6.2,few clouds
36,Ayagoz,KZ,47.9714,80.4392,4.23,80,3,6.44,clear sky
37,Port Elizabeth,ZA,-33.918,25.5701,67.32,72,0,3.0,clear sky
38,Ullapool,GB,57.8987,-5.1604,38.35,75,98,22.86,overcast clouds
39,Hermanus,ZA,-34.4187,19.2345,59.81,66,0,10.31,clear sky
40,Mahebourg,MU,-20.4081,57.7,81.25,73,40,10.36,light rain
41,Ahipara,NZ,-35.1667,173.1667,67.17,76,37,8.34,scattered clouds
42,Mangrol,IN,21.1167,70.1167,73.0,35,0,9.71,clear sky
43,Altay,CN,47.8667,88.1167,10.92,72,33,2.35,scattered clouds
44,Saskylakh,RU,71.9167,114.0833,-35.43,100,49,3.31,scattered clouds
45,Chernyshevskiy,RU,63.0128,112.4714,-18.54,100,82,3.78,broken clouds
46,Kapaa,US,22.0752,-159.319,77.32,89,0,9.22,clear sky
47,Qaanaaq,GL,77.484,-69.3632,-17.43,85,90,5.23,overcast clouds
48,Broken Hill,AU,-31.95,141.4333,93.45,23,34,12.39,scattered clouds
49,Butaritari,KI,3.0707,172.7902,80.82,80,43,13.47,light rain
50,Bambous Virieux,MU,-20.3428,57.7575,81.21,73,40,10.36,light rain
51,Bredasdorp,ZA,-34.5322,20.0403,61.39,59,1,7.85,clear sky
52,Hasaki,JP,35.7333,140.8333,50.4,40,11,12.28,few clouds
